;1440;ALE;
;1489;ALINGSÅS;
;0764;ALVESTA;
;0604;ANEBY;
;1984;ARBOGA;
;2506;ARJEPLOG;
;2505;ARVIDSJAUR;
;1784;ARVIKA;
;1882;ASKERSUND;
;2084;AVESTA;
;1460;BENGTSFORS;
;2326;BERG;
;2403;BJURHOLM;
;1260;BJUV;
;2582;BODEN;
;1443;BOLLEBYGD;
;2183;BOLLNÄS;
;0885;BORGHOLM;
;2081;BORLÄNGE;
;1490;BORÅS;
;0127;BOTKYRKA;
;0560;BOXHOLM;
;1272;BROMÖLLA;
;2305;BRÄCKE;
;1231;BURLÖV;
;1278;BÅSTAD;
;1438;DALS-ED;
;0162;DANDERYD;
;1862;DEGERFORS;
;2425;DOROTEA;
;1730;EDA;
;0125;EKERÖ;
;0686;EKSJÖ;
;0862;EMMABODA;
;0381;ENKÖPING;
;0484;ESKILSTUNA;
;1285;ESLÖV;
;1445;ESSUNGA;
;1982;FAGERSTA;
;1382;FALKENBERG;
;1499;FALKÖPING;
;2080;FALUN;
;1782;FILIPSTAD;
;0562;FINSPÅNG;
;0482;FLEN;
;1763;FORSHAGA;
;1439;FÄRGELANDA;
;2026;GAGNEF;
;0662;GISLAVED;
;0461;GNESTA;
;0617;GNOSJÖ;
;0980;GOTLAND;
;1764;GRUMS;
;1444;GRÄSTORP;
;1447;GULLSPÅNG;
;2523;GÄLLIVARE;
;2180;GÄVLE;
;1480;GÖTEBORG;
;1471;GÖTENE;
;0643;HABO;
;1783;HAGFORS;
;1861;HALLSBERG;
;1961;HALLSTAHAMMAR;
;1380;HALMSTAD;
;1761;HAMMARÖ;
;0136;HANINGE;
;2583;HAPARANDA;
;0331;HEBY;
;2083;HEDEMORA;
;1283;HELSINGBORG;
;1466;HERRLJUNGA;
;1497;HJO;
;2104;HOFORS;
;0126;HUDDINGE;
;2184;HUDIKSVALL;
;0860;HULTSFRED;
;1315;HYLTE;
;0305;HÅBO;
;1863;HÄLLEFORS;
;2361;HÄRJEDALEN;
;2280;HÄRNÖSAND;
;1401;HÄRRYDA;
;1293;HÄSSLEHOLM;
;1284;HÖGANÄS;
;0821;HÖGSBY;
;1266;HÖRBY;
;1267;HÖÖR;
;2510;JOKKMOKK;
;0123;JÄRFÄLLA;
;0680;JÖNKÖPING;
;2514;KALIX;
;0880;KALMAR;
;1446;KARLSBORG;
;1082;KARLSHAMN;
;1883;KARLSKOGA;
;1080;KARLSKRONA;
;1780;KARLSTAD;
;0483;KATRINEHOLM;
;1715;KIL;
;0513;KINDA;
;2584;KIRUNA;
;1276;KLIPPAN;
;0330;KNIVSTA;
;2282;KRAMFORS;
;1290;KRISTIANSTAD;
;1781;KRISTINEHAMN;
;2309;KROKOM;
;1881;KUMLA;
;1384;KUNGSBACKA;
;1960;KUNGSÖR;
;1482;KUNGÄLV;
;1261;KÄVLINGE;
;1983;KÖPING;
;1381;LAHOLM;
;1282;LANDSKRONA;
;1860;LAXÅ;
;1814;LEKEBERG;
;2029;LEKSAND;
;1441;LERUM;
;0761;LESSEBO;
;0186;LIDINGÖ;
;1494;LIDKÖPING;
;1462;LILLA EDET;
;1885;LINDESBERG;
;0580;LINKÖPING;
;0781;LJUNGBY;
;2161;LJUSDAL;
;1864;LJUSNARSBERG;
;1262;LOMMA;
;2085;LUDVIKA;
;2580;LULEÅ;
;1281;LUND;
;2481;LYCKSELE;
;1484;LYSEKIL;
;1280;MALMÖ;
;2023;MALUNG;
;2418;MALÅ;
;1493;MARIESTAD;
;1463;MARK;
;0767;MARKARYD;
;1461;MELLERUD;
;0586;MJÖLBY;
;2062;MORA;
;0583;MOTALA;
;0642;MULLSJÖ;
;1430;MUNKEDAL;
;1762;MUNKFORS;
;1481;MÖLNDAL;
;0861;MÖNSTERÅS;
;0840;MÖRBYLÅNGA;
;0182;NACKA;
;1884;NORA;
;1962;NORBERG;
;2132;NORDANSTIG;
;2401;NORDMALING;
;0581;NORRKÖPING;
;0188;NORRTÄLJE;
;2417;NORSJÖ;
;0881;NYBRO;
;0140;NYKVARN;
;0480;NYKÖPING;
;0192;NYNÄSHAMN;
;0682;NÄSSJÖ;
;2101;OCKELBO;
;1060;OLOFSSTRÖM;
;2034;ORSA;
;1421;ORUST;
;1273;OSBY;
;0882;OSKARSHAMN;
;2121;OVANÅKER;
;0481;OXELÖSUND;
;2521;PAJALA;
;1402;PARTILLE;
;1275;PERSTORP;
;2581;PITEÅ;
;2303;RAGUNDA;
;2409;ROBERTSFORS;
;1081;RONNEBY;
;2031;RÄTTVIK;
;1981;SALA;
;0128;SALEM;
;2181;SANDVIKEN;
;0191;SIGTUNA;
;1291;SIMRISHAMN;
;1265;SJÖBO;
;1495;SKARA;
;2482;SKELLEFTEÅ;
;1904;SKINNSKATTEBERG;
;1264;SKURUP;
;1496;SKÖVDE;
;2061;SMEDJEBACKEN;
;2283;SOLLEFTEÅ;
;0163;SOLLENTUNA;
;0184;SOLNA;
;2422;SORSELE;
;1427;SOTENÄS;
;1230;STAFFANSTORP;
;1415;STENUNGSUND;
;0180;STOCKHOLM;
;1760;STORFORS;
;2421;STORUMAN;
;0486;STRÄNGNÄS;
;1486;STRÖMSTAD;
;2313;STRÖMSUND;
;0183;SUNDBYBERG;
;2281;SUNDSVALL;
;1766;SUNNE;
;1907;SURAHAMMAR;
;1214;SVALÖV;
;1263;SVEDALA;
;1465;SVENLJUNGA;
;1785;SÄFFLE;
;2082;SÄTER;
;0684;SÄVSJÖ;
;2182;SÖDERHAMN;
;0582;SÖDERKÖPING;
;0181;SÖDERTÄLJE;
;1083;SÖLVESBORG;
;1435;TANUM;
;1472;TIBRO;
;1498;TIDAHOLM;
;0360;TIERP;
;2262;TIMRÅ;
;0763;TINGSRYD;
;1419;TJÖRN;
;1270;TOMMELILLA;
;1737;TORSBY;
;0834;TORSÅS;
;1452;TRANEMO;
;0687;TRANÅS;
;1287;TRELLEBORG;
;1488;TROLLHÄTTAN;
;0488;TROSA;
;0138;TYRESÖ;
;0160;TÄBY;
;1473;TÖREBODA;
;1485;UDDEVALLA;
;1491;ULRICEHAMN;
;2480;UMEÅ;
;0114;UPPLANDS VÄSBY;
;0139;UPPLANDS-BRO;
;0380;UPPSALA;
;0760;UPPVIDINGE;
;0584;VADSTENA;
;0665;VAGGERYD;
;0563;VALDEMARSVIK;
;0115;VALLENTUNA;
;2021;VANSBRO;
;1470;VARA;
;1383;VARBERG;
;0187;VAXHOLM;
;1233;VELLINGE;
;0685;VETLANDA;
;2462;VILHELMINA;
;0884;VIMMERBY;
;2404;VINDELN;
;0428;VINGÅKER;
;1442;VÅRGÅRDA;
;1487;VÄNERSBORG;
;2460;VÄNNÄS;
;0120;VÄRMDÖ;
;0683;VÄRNAMO;
;0883;VÄSTERVIK;
;1980;VÄSTERÅS;
;0780;VÄXJÖ;
;0512;YDRE;
;1286;YSTAD;
;1492;ÅMÅL;
;2260;ÅNGE;
;2321;ÅRE;
;1765;ÅRJÄNG;
;2463;ÅSELE;
;1277;ÅSTORP;
;0561;ÅTVIDABERG;
;0765;ÄLMHULT;
;2039;ÄLVDALEN;
;0319;ÄLVKARLEBY;
;2560;ÄLVSBYN;
;1292;ÄNGELHOLM;
;1407;ÖCKERÖ;
;0509;ÖDESHÖG;
;1880;ÖREBRO;
;1257;ÖRKELLJUNGA;
;2284;ÖRNSKÖLDSVIK;
;2380;ÖSTERSUND;
;0117;ÖSTERÅKER;
;0382;ÖSTHAMMAR;
;1256;ÖSTRA GÖINGE;
;2513;ÖVERKALIX;
;2518;ÖVERTORNEÅ;